index,query,search_mode,retrieval_latency_ms,filter_level,metadata_match_count,outlier,returned_count,precision_at_1,recall_at_1,precision_at_3,recall_at_3,precision_at_5,recall_at_5
flat,Gaming laptop under 1500 USD with at least 16 GB RAM and RTX graphics,semantic,11720.866,1,,False,5,0.0,0.0,0.0,0.0,0.2,0.2
flat,Affordable gaming laptop with a dedicated GPU and 512 GB SSD,semantic,272.215,1,,False,5,1.0,0.2,0.6666666666666666,0.4,0.8,0.8
flat,Laptop for university programming with 16 GB RAM,semantic,267.336,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Lightweight student laptop under 2 kg with long battery life,semantic,300.791,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Business laptop with a comfortable keyboard under 1200 USD,semantic,270.49,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Portable professional laptop with a bright display and good battery life,semantic,273.889,1,,False,5,1.0,0.2,1.0,0.6,0.6,0.6
flat,Programming laptop with a powerful CPU and at least 512 GB storage,semantic,273.146,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop for video editing with a dedicated NVIDIA GPU and 32 GB RAM,semantic,268.793,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Creative work laptop with a high resolution display and fast SSD,semantic,267.482,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Workstation laptop with RTX graphics and at least 32 GB RAM,semantic,266.148,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Windows laptop under 1000 USD with 16 GB RAM,semantic,618.812,3,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop between 800 and 1400 USD with SSD storage,semantic,472.364,2,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop below 900 USD for office work,semantic,439.339,2,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop above 1500 USD with a powerful processor,semantic,269.351,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Dell laptop for business use with a comfortable keyboard,semantic,263.254,1,,False,5,1.0,0.2,0.6666666666666666,0.4,0.4,0.4
flat,Lenovo laptop for programming with at least 16 GB RAM,semantic,262.866,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,HP laptop for students with a lightweight design,semantic,261.239,1,,False,5,1.0,0.2,0.6666666666666666,0.4,0.8,0.8
flat,Asus gaming laptop with RTX graphics under 2000 USD,semantic,257.216,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Acer laptop with at least 512 GB storage and Windows,semantic,270.457,1,,False,5,1.0,0.2,1.0,0.6,0.6,0.6
flat,Laptop without RTX graphics for quiet office work,semantic,267.339,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop that must have 32 GB RAM for software development,semantic,267.137,1,,False,0,0.0,0.0,0.0,0.0,0.0,0.0
flat,Laptop required to have an SSD and Windows operating system,semantic,273.301,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Only lightweight laptops under 1.8 kg for travel,semantic,273.573,1,,False,5,1.0,0.2,1.0,0.6,0.8,0.8
flat,Laptop with at least 1 TB storage for media files,semantic,442.221,2,,False,1,1.0,1.0,1.0,1.0,1.0,1.0
flat,Laptop with at least 16 GB RAM and a comfortable keyboard,semantic,272.756,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Portable laptop under 1200 USD with a good display,semantic,271.269,1,,False,5,1.0,0.2,1.0,0.6,0.6,0.6
flat,Gaming laptop with RTX 4060 and 16 GB RAM,semantic,267.771,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop with GTX graphics and at least 512 GB storage,semantic,272.579,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Business laptop under 1500 USD that is not Dell,semantic,270.454,1,,False,5,0.0,0.0,0.3333333333333333,0.2,0.4,0.4
flat,Linux laptop for programming with at least 16 GB RAM,semantic,475.291,2,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop for office and video calls with long battery life,semantic,271.699,1,,False,5,1.0,0.2,1.0,0.6,0.6,0.6
flat,Laptop under 700 USD for basic student work,semantic,439.695,2,,False,1,1.0,1.0,1.0,1.0,1.0,1.0
flat,Laptop between 1000 and 1800 USD for creative professionals,semantic,449.447,2,,False,1,1.0,1.0,1.0,1.0,1.0,1.0
flat,Laptop with a 15 inch or larger display for productivity,semantic,267.293,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop below 2 kg with at least 8 GB RAM,semantic,270.938,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Gaming laptop with a high refresh rate display and dedicated GPU,semantic,271.659,1,,False,5,1.0,0.2,1.0,0.6,0.8,0.8
flat,Laptop for machine learning experiments with NVIDIA graphics,semantic,285.161,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Quiet lightweight business laptop with an SSD,semantic,259.672,1,,False,5,0.0,0.0,0.0,0.0,0.0,0.0
flat,Laptop with strong battery life and a comfortable keyboard for university,semantic,264.015,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,"Laptop with RTX graphics, 32 GB RAM, and at least 1 TB storage",semantic,274.027,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
