query_number,index,query,precision_at_1,precision_at_3,precision_at_5,recall_at_5,ndcg_at_5,mrr,average_precision_at_5,success_at_5,candidate_recall_at_20,latency_ms,retrieval_latency_ms,returned_laptop_ids
1,flat,Gaming laptop under 1500 USD with at least 16 GB RAM and RTX graphics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,154.507,148.381,414122 415533 411485 415062 414494
2,flat,Affordable gaming laptop with a dedicated GPU and 512 GB SSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,168.171,162.058,411439 418259 411197 418832 415779
3,flat,Laptop for university programming with 16 GB RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,119.048,113.475,355798 322105 325229 417862 415012
4,flat,Lightweight student laptop under 2 kg with long battery life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,123.265,118.06,337025 339011 322593 411493 351220
5,flat,Business laptop with a comfortable keyboard under 1200 USD,0.0,0.0,0.2,0.06666666666666667,0.131205,0.2,0.04,True,0.06666666666666667,119.88,114.738,338015 355150 335960 352384 354911
6,flat,Portable professional laptop with a bright display and good battery life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,87.828,83.716,308509 416731 417145 343246 418042
7,flat,Programming laptop with a powerful CPU and at least 512 GB storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,133.401,127.416,330842 412221 326576 411761 415173
8,flat,Laptop for video editing with a dedicated NVIDIA GPU and 32 GB RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,137.042,131.826,329688 413846 338600 418428 417145
9,flat,Creative work laptop with a high resolution display and fast SSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,150.515,145.601,314867 416065 418413 415195 312868
10,flat,Workstation laptop with RTX graphics and at least 32 GB RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,119.349,113.655,413846 318572 338600 341406 312868
11,flat,Windows laptop under 1000 USD with 16 GB RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,71.324,66.576,415209 295738 412516 323446 326523
12,flat,Laptop between 800 and 1400 USD with SSD storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,108.826,103.74,418178 415799 418413 418821 415197
13,flat,Laptop below 900 USD for office work,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,71.654,66.599,345841 417110 351422 296244 308518
14,flat,Laptop above 1500 USD with a powerful processor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,100.011,95.227,323093 331646 317510 303746 322105
15,flat,Dell laptop for business use with a comfortable keyboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.13333333333333333,130.159,125.447,338015 316974 413742 311303 418821
16,flat,Lenovo laptop for programming with at least 16 GB RAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,476.453,470.86,415197 415842 418344 359424 412583
17,flat,HP laptop for students with a lightweight design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,122.435,117.22,330842 358572 319160 412221 357962
18,flat,Asus gaming laptop with RTX graphics under 2000 USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.06666666666666667,106.753,102.466,415515 411764 418474 415906 415847
19,flat,Acer laptop with at least 512 GB storage and Windows,0.0,0.3333333333333333,0.2,0.06666666666666667,0.213986,0.5,0.1,True,0.06666666666666667,121.915,116.964,314867 340266 413407 302621 345203
20,flat,Laptop without RTX graphics for quiet office work,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,108.932,104.345,351210 351422 313280 358970 309415
21,flat,Laptop that must have 32 GB RAM for software development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,158.33,152.466,354238 350048 413550 414546 417811
