index,query,search_mode,retrieval_latency_ms,filter_level,metadata_match_count,outlier,returned_count,precision_at_1,recall_at_1,precision_at_3,recall_at_3,precision_at_5,recall_at_5
flat,Gaming laptop under 1500 USD with at least 16 GB RAM and RTX graphics,semantic,346.53,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Affordable gaming laptop with a dedicated GPU and 512 GB SSD,semantic,101.835,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop for university programming with 16 GB RAM,semantic,90.054,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Lightweight student laptop under 2 kg with long battery life,semantic,100.465,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Business laptop with a comfortable keyboard under 1200 USD,semantic,97.573,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Portable professional laptop with a bright display and good battery life,semantic,97.585,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Programming laptop with a powerful CPU and at least 512 GB storage,semantic,99.272,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop for video editing with a dedicated NVIDIA GPU and 32 GB RAM,semantic,100.207,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Creative work laptop with a high resolution display and fast SSD,semantic,90.63,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Workstation laptop with RTX graphics and at least 32 GB RAM,semantic,96.174,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Windows laptop under 1000 USD with 16 GB RAM,semantic,95.779,3,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop between 800 and 1400 USD with SSD storage,semantic,104.161,2,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop below 900 USD for office work,semantic,92.976,2,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop above 1500 USD with a powerful processor,semantic,87.185,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Dell laptop for business use with a comfortable keyboard,semantic,93.646,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Lenovo laptop for programming with at least 16 GB RAM,semantic,104.562,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,HP laptop for students with a lightweight design,semantic,90.091,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Asus gaming laptop with RTX graphics under 2000 USD,semantic,101.276,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Acer laptop with at least 512 GB storage and Windows,semantic,104.148,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop without RTX graphics for quiet office work,semantic,93.95,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop that must have 32 GB RAM for software development,semantic,94.814,1,,False,0,0.0,0.0,0.0,0.0,0.0,0.0
flat,Laptop required to have an SSD and Windows operating system,semantic,100.027,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Only lightweight laptops under 1.8 kg for travel,semantic,100.147,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop with at least 1 TB storage for media files,semantic,111.566,2,,False,1,1.0,1.0,1.0,1.0,1.0,1.0
flat,Laptop with at least 16 GB RAM and a comfortable keyboard,semantic,98.231,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Portable laptop under 1200 USD with a good display,semantic,94.898,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Gaming laptop with RTX 4060 and 16 GB RAM,semantic,135.975,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop with GTX graphics and at least 512 GB storage,semantic,95.607,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Business laptop under 1500 USD that is not Dell,semantic,96.724,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Linux laptop for programming with at least 16 GB RAM,semantic,97.718,2,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop for office and video calls with long battery life,semantic,95.978,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop under 700 USD for basic student work,semantic,83.577,2,,False,1,1.0,1.0,1.0,1.0,1.0,1.0
flat,Laptop between 1000 and 1800 USD for creative professionals,semantic,87.431,2,,False,1,1.0,1.0,1.0,1.0,1.0,1.0
flat,Laptop with a 15 inch or larger display for productivity,semantic,94.338,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop below 2 kg with at least 8 GB RAM,semantic,103.087,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Gaming laptop with a high refresh rate display and dedicated GPU,semantic,103.552,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop for machine learning experiments with NVIDIA graphics,semantic,88.696,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Quiet lightweight business laptop with an SSD,semantic,85.016,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,Laptop with strong battery life and a comfortable keyboard for university,semantic,99.556,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
flat,"Laptop with RTX graphics, 32 GB RAM, and at least 1 TB storage",semantic,104.978,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Gaming laptop under 1500 USD with at least 16 GB RAM and RTX graphics,semantic,263.009,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Affordable gaming laptop with a dedicated GPU and 512 GB SSD,semantic,75.923,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Laptop for university programming with 16 GB RAM,semantic,70.854,1,,False,5,1.0,0.2,1.0,0.6,0.8,0.8
ivf_flat,Lightweight student laptop under 2 kg with long battery life,semantic,77.866,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Business laptop with a comfortable keyboard under 1200 USD,semantic,73.054,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Portable professional laptop with a bright display and good battery life,semantic,77.552,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Programming laptop with a powerful CPU and at least 512 GB storage,semantic,77.724,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Laptop for video editing with a dedicated NVIDIA GPU and 32 GB RAM,semantic,77.749,1,,False,5,1.0,0.2,1.0,0.6,0.8,0.8
ivf_flat,Creative work laptop with a high resolution display and fast SSD,semantic,79.385,1,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Workstation laptop with RTX graphics and at least 32 GB RAM,semantic,78.431,1,,False,5,1.0,0.2,1.0,0.6,0.8,0.8
ivf_flat,Windows laptop under 1000 USD with 16 GB RAM,semantic,75.718,3,,False,5,1.0,0.2,1.0,0.6,1.0,1.0
ivf_flat,Laptop between 800 and 1400 USD with SSD storage,semantic,83.101,3,,False,5,1.0,0.2,0.3333333333333333,0.2,0.2,0.2
