row_id,query,candidate_1_laptop_id,candidate_1_details,candidate_1_relevant_Y_N,candidate_2_laptop_id,candidate_2_details,candidate_2_relevant_Y_N,candidate_3_laptop_id,candidate_3_details,candidate_3_relevant_Y_N,candidate_4_laptop_id,candidate_4_details,candidate_4_relevant_Y_N,candidate_5_laptop_id,candidate_5_details,candidate_5_relevant_Y_N
1,Gaming laptop under 1500 USD with at least 16 GB RAM and RTX graphics,414122,"Asus Asus ROG Strix G15 G513QM-HF406TS | $1480 | AMD Octa Core Ryzen 7 5900HX 3.3 Ghz | NVIDIA GeForce RTX 3060 16 GB | 16 GB, DDR3, 1 Slots | SSD: 1 TB",,415533,"Asus Asus ROG Zephyrus G14 GA401IV-HE182TS | $1490 | AMD Octa Core Ryzen 9 4900HS 3.0 Ghz | NVIDIA Geforce RTX 2060 with Max-Q Design 16 GB | 16 GB, DDR4-3200, 3200 MT/s MHz, 1 Slots | SSD: 1 TB",,411485,"Asus Asus ROG Zephyrus G15 GA503QM-HQ148TS | $1490 | AMD Octa Core Ryzen 7 5800HS 3.0 Ghz | NVIDIA GeForce RTX 3060 16 GB | 16 GB, DDR4, 1 Slots | SSD: 1 TB",,415062,"Asus Asus ROG Strix G17 G713RM-KH168WS | $1490 | AMD Octa Core Ryzen 7 - 6800H 4.7 Ghz | NVIDIA GeForce RTX 3060 16 GB | 16 GB, DDR5, 2 Slots | SSD: 1 TB",,414494,"Lenovo Lenovo Legion 5i 15IRX9 (83JJ0010IN) | $1470 | Intel Core i7 - 13650HX (13th Gen) 4.9 Ghz Intel HM770 | NVIDIA GeForce RTX 4060 24 GB | 24 GB, DDR5-4800, 4800 MT/s MHz, 2 Slots | SSD: 512 GB, M.2",
2,Affordable gaming laptop with a dedicated GPU and 512 GB SSD,411439,"Asus Asus ROG Zephyrus G15 GA503QM-HQ173TS | $1070 | AMD Octa Core Ryzen 9 5900HS 3.1 Ghz | NVIDIA GeForce RTX 3060 16 GB | DDR4-3200, 3200 MT/s MHz, 1 Slots | SSD: 1 TB",,418259,"Asus Asus ROG Zephyrus G15 GA502DU-HN100T | $900 | AMD Octa Core Ryzen 7 3750H 2.3 Ghz | NVIDIA GeForce GTX 1660 Ti with Max-Q Design 16 GB | 16 GB, DDR4-2400, 2400 MT/s MHz, 1 Slots | SSD: 512 GB",,411197,"Asus Asus ROG Zenphyrus GA502DU-AL025T | $750 | AMD Quad Core Ryzen 7 3750H 2.3 Ghz | NVIDIA Geforce GTX 1660 Ti 16 GB | 16 GB, DDR4-2400, 2400 MT/s MHz, 1 Slots | SSD: 512 GB",,418832,"Asus Asus TUF Gaming F15 FX566HM-AZ096TS | $1450 | Intel Core i9-11900H (11th Gen) 4.9 Ghz | NVIDIA GeForce RTX 3060 16 GB | 16 GB, DDR4-3200, 3200 MT/s MHz, 1 Slots | SSD: 1 TB, M.2",,415779,"Asus Asus TUF Gaming A17 FA706QM-HX008TS | $1180 | AMD Octa Core Ryzen 7 5800H | NVIDIA GeForce RTX 3060 16 GB | 16 GB, DDR4-3200, 3200 MT/s MHz, 1 Slots | SSD: 1 TB",
3,Laptop for university programming with 16 GB RAM,355798,"Lenovo Lenovo ThinkPad T14s 2in1 Gen1 | $2670 | Intel Core Ultra 7 255U 12c/14t, 2 x 5.2 GHz Intel Redwood Cove P-Core, 8 x 4.2 GHz Intel Skymont E-Core, 2 x 2.4 GHz Intel Crestmont E-Core, 57 W PL2 / Short Burst, 24 W PL1 / Sustained, Arrow Lake-U | Intel Graphics 4-Core iGPU (Meteor / Arrow Lake) , Core: 2100 MHz, RAM: 3724 MHz, 32.0.101.6651 | 32 GB , LPDDR5x-7467, Dual-Channel, onboard | Samsung PM9E1 1 TB MZVLC1T0HFLU , 1024 GB , 855 GB free",,322105,"LG LG Gram 16 2-in-1 16T90P | $1600 | Intel Core i7-1165G7 4c/8t 4 x 2.8 - 4.7 GHz, 64 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake-UP3 | Intel Iris Xe Graphics G7 96EUs , Core: 1300 MHz, RAM: 1600 MHz, LPDDR4x, 27.20.100.8853 | 16 GB , 36-39-39-90, Dual-Channel | SK Hynix PC401 512GB M.2 (HFS512GD9TNG), 512 GB",,325229,"Dell Dell Inspiron 15 3501 | $925 | Intel Core i7-1165G7 4c/8t 4 x 2.8 - 4.7 GHz, 51 W PL2 / Short Burst, 22 W PL1 / Sustained, Tiger Lake-UP3 | Intel Iris Xe Graphics G7 96EUs , Core: 1300 MHz, RAM: 1000 MHz, dual-channel, 30.0.100.9864 | 16 GB , DDR4-3200, dual-channel mode, two memory slots (both in use) | Samsung PM991a MZ9LQ512HBLU-00BD1 , 512 GB , 1x SATA slot for 2.5-inch drives, 407 GB free",,417862,"Dell Dell Alienware 15 R4 (B569905WIN9) | $3210 | Intel Core i9-8950HK (8th Gen) 2.9 Ghz | NVIDIA Geforce GTX 1070 32 GB | 32 GB, DDR4-2666, 2666 MT/s MHz, 2 Slots | SSD: 512 GB; HDD: 1 TB, 7200 RPM, SATA",,415012,"Lenovo Lenovo Ideapad 520-15IKB (80YL00PPIN) | $860 | Intel Core i7-7500U (7th Gen) 2.7 Ghz | NVIDIA GeForce GT 940MX 16 GB | 16 GB, DDR4-2133, 2133 MT/s MHz, 1 Slots | HDD: 2 TB, 5400 RPM, SATA",
4,Lightweight student laptop under 2 kg with long battery life,337025,"LG LG Gram 17 (2023) | $2205 | Intel Core i7-1360P 12c/16t, 4 x 5.0 GHz Intel Golden Cove P-Core, 8 x 3.7 GHz Intel Gracemont E-Core, 43 W PL2 / Short Burst, 26 W PL1 / Sustained, Raptor Lake-P | Intel Iris Xe Graphics G7 96EUs , Core: 1400 MHz, dual-channel, 31.0.101.3688 | 16 GB , LPDDR5-5200, dual-channel mode, onboard, no memory slots | Samsung PM9A1 MZVL21T0HCLR , 1024 GB , PCIe 4, M.2-2280, 866 GB free",,339011,"LG LG Gram SuperSlim (2023) | $2435 | Intel Core i7-1360P 12c/16t, 4 x 5.0 GHz Intel Golden Cove P-Core, 8 x 3.7 GHz Intel Gracemont E-Core, 43 W PL2 / Short Burst, 26 W PL1 / Sustained, Raptor Lake-P | Intel Iris Xe Graphics G7 96EUs , Core: 1500 MHz, Dual-channel, 31.0.101.4032 | 16 GB , LPDDR5-6000, Dual-channel, onboard, no memory slots | SK hynix PC801 HFS001TEJ9X101N , 1024 GB , PCIe 4, M.2-2280, two slots, 881 GB free",,322593,"LG LG Gram 16 (2021) | $1510 | Intel Core i7-1165G7 4c/8t 4 x 2.8 - 4.7 GHz, 60 W PL2 / Short Burst, 30 W PL1 / Sustained, Tiger Lake-UP3 | Intel Iris Xe Graphics G7 96EUs - 1600 MB VRAM, Core: 1300 MHz, dual-channel mode, 27.20.100.9466 | 16 GB , LPDDR4X 4266, dual-channel mode, on-board, no memory slots | SK Hynix PC601 1TB HFS001TD9TNG , 1024 GB , 2 M.2-2280 slots (NVMe), 883 GB free",,411493,"Lenovo Lenovo IdeaPad Slim 5 13ARP10 (83J2003NIN) | $640 | AMD Octa Core Ryzen 7 - 7735HS 4.7 Ghz AMD SoC Platform | AMD Radeon 680M 16 GB | 16 GB, LPDDR5X-6400, 6400 MT/s MHz, 1 Slots | SSD: 512 GB, M.2",,351220,"Lenovo Lenovo IdeaPad Slim 5-15ARP G10 | $755 | AMD Ryzen 7 7735HS 8c/16t, 8 x 4.8 GHz AMD Zen 3+, 45 W PL2 / Short Burst, 30 W PL1 / Sustained, Rembrandt-HS Refresh | AMD Radeon 680M , Core: 2400 MHz, RAM: 1067 MHz, Adrenalin 24.12.1 | 16 GB , LPDDR5x-6400, Dual-Channel, onboard | Western Digital PC SN5000S SDEPMSJ-512G, 512 GB , 444 GB free",
5,Business laptop with a comfortable keyboard under 1200 USD,338015,"Dell Dell Latitude 3440 | $1100 | Intel Core i5-1345U 10c/12t 10 x 1.2 - 4.7 GHz, 32 W PL2 / Short Burst, 18 W PL1 / Sustained, Raptor Lake-U | Intel Iris Xe Graphics G7 80EUs , Core: 1200 MHz, DDR4, 31.0.101.4255 | 16 GB , SK Hynix, DDR4-3200, Dual-Channel, 2x SODIMM, 19-19-19-43 | Samsung PM9A1 MZVL2512HCJQ , 512 GB",,355150,"Lenovo Lenovo ThinkPad E14 G7-21SYS00H00 | $1160 | Intel Core Ultra 7 255H 16c/16t, 6 x 5.1 GHz Intel Lion Cove P-Core, 8 x 4.4 GHz Intel Skymont E-Core, 2 x 2.5 GHz Intel Crestmont E-Core, 45 W PL2 / Short Burst, 28 W PL1 / Sustained, Arrow Lake-H | Intel Arc Graphics 140T , Core: 2050 MHz, 32.0.101.6452 | 16 GB , DDR5-5600, Single-Channel, 2 Slots, max. 128 GB | SK Hynix PVC10 HFS001TEM4X169N , 1024 GB , 922 GB free",,335960,"HP HP ProBook 440 G9-5Y3Z3EA | $1100 | Intel Core i7-1255U 10c/12t 10 x 1.2 - 4.7 GHz, 51 W PL2 / Short Burst, 24 W PL1 / Sustained, Alder Lake-U | Intel Iris Xe Graphics G7 96EUs | 16 GB , DDR4-3200, Single-Channel | Samsung PM991 MZVLQ512HBLU, 512 GB",,352384,"Lenovo Lenovo ThinkPad L13 2in1 G5 21LNS4AM00 | $1160 | Intel Core Ultra 5 125U 12c/14t, 2 x 4.3 GHz Intel Redwood Cove P-Core, 8 x 3.6 GHz Intel Crestmont E-Core, 2 x 2.1 GHz Intel Crestmont E-Core, 42 W PL2 / Short Burst, 15 W PL1 / Sustained, Meteor Lake-P | Intel Graphics 4-Core iGPU (Meteor / Arrow Lake) , Core: 1850 MHz, RAM: 2800 MHz, 32.0.101.6314 | 32 GB , LPDDR5x-6400, Dual-Channel, onboard | Kioxia BG6 KBG6AZNV1T02, 1024 GB , 917 GB free",,354911,"Lenovo Lenovo ThinkPad E16 G3-21SSS00F00 | $1045 | Intel Core Ultra 5 225U 12c/14t, 2 x 4.8 GHz Intel Redwood Cove P-Core, 8 x 3.8 GHz Intel Skymont E-Core, 2 x 2.4 GHz Intel Crestmont E-Core, 52 W PL2 / Short Burst, 35 W PL1 / Sustained, Arrow Lake-U | Intel Graphics 4-Core iGPU (Meteor / Arrow Lake) , Core: 1350 MHz, 32.0.101.6452 | 16 GB , DDR5-5600, Single-Channel, 2 slots, max. 128 GB | SK Hynix PVC10 HFS001TEM4X169N , 1024 GB , 895 GB free",
6,Portable professional laptop with a bright display and good battery life,308509,"Dell Dell Latitude 5420 Rugged-P85G | $3200 | Intel Core i7-8650U 4c/8t 4 x 1.9 - 4.2 GHz, Kaby Lake Refresh | AMD Radeon RX 540 - 4 GB VRAM, Core: 1176 MHz, RAM: 1500 MHz, GDDR5, AMD Radeon Driver Packaging Version 18.10.22-180612a-332314C-Dell, Yes | 16 GB , 1200.5 MHz, DDR4-2400 / PC4-19200 | SK hynix PC401 NVMe 500 GB, 512 GB, NVMe, M.2 form factor, 475 GB free",,416731,"Asus Asus VivoBook Pro 15 M6500RC-HN741WS | $650 | AMD Octa Core Ryzen 7 - 6800H 3.1 Ghz | NVIDIA GeForce RTX 3050 16 GB | 16 GB, LPDDR5-6400, 6400 MT/s MHz, 1 Slots | SSD: 512 GB",,417145,"Lenovo Lenovo ThinkPad P16s Gen 2 (21K9S00C00) | $1075 | AMD Octa Core Ryzen 7 - 7840U 4.8 Ghz AMD SoC Platform | AMD Radeon 780M 32 GB | 32 GB, LPDDR5X-7500, 7500 MT/s MHz, 2 Slots | SSD: 1 TB, M.2",,343246,"Lenovo Lenovo ThinkPad P16s G2 21K9000CGE | $2495 | AMD Ryzen 7 PRO 7840U 8c/16t, 8 x 5.1 GHz AMD Zen 4, 51 W PL2 / Short Burst, 41 W PL1 / Sustained, Phoenix (Zen 4) | AMD Radeon 780M , Core: 800 MHz | 32 GB , LPDDR5X-6400 | SK hynix PC801 HFS001TEJ9X162N , 1024 GB",,418042,"Acer Acer ALG AL15G-52 (UN.34CSI.004) | $620 | Intel Core i5-12450H (12th Gen) 4.4 Ghz | NVIDIA GeForce RTX 3050 16 GB | 16 GB, DDR4, 1 Slots | SSD: 512 GB, M.2",
7,Programming laptop with a powerful CPU and at least 512 GB storage,330842,"HP HP ProBook 450 G9 6A180EA | $1310 | Intel Core i7-1255U 10c/12t 10 x 1.2 - 4.7 GHz, 39 W PL2 / Short Burst, 15 W PL1 / Sustained, Alder Lake-U | Intel Iris Xe Graphics G7 96EUs , Core: 1250 MHz, RAM: 2667 MHz | 16 GB , DDR4 2667 MHz, 1x 16 GB (two slots), single channel, 19-19-19-43, max 64 GB | SK Hynix HFM512GD3JX013N, 512 GB , 416 GB free",,412221,"HP HP ProBook 440 G9 (9H215PT) | $980 | Intel Core i7-1255U (12th Gen) 4.7 Ghz | Intel Iris Xe 16 GB | 16 GB, DDR4-3200, 3200 MT/s MHz, 1 Slots | SSD: 512 GB, M.2/Optane",,326576,"HP HP Pavilion 14-dv0357ng | $1625 | Intel Core i5-1135G7 4c/8t 4 x 2.4 - 4.2 GHz, 51 W PL2 / Short Burst, 22 W PL1 / Sustained, Tiger Lake-UP3 | Intel Iris Xe Graphics G7 80EUs - 1024 MB VRAM, Core: 1300 MHz, RAM: 2000 MHz, DDR4, 27.20.100.8935 | 15.8 GB , LPDDR4, 3200 MHz, dual-channel | Intel Optane Memory H10 with Solid State Storage 32GB + 1TB HBRPEKNX0203AH(L/H) , 1024 GB , 919 GB free",,411761,"Lenovo Lenovo ThinkBook 16 Gen 7 (21MWA08NIN) | $570 | AMD Octa-Core Ryzen 7 - 7735HS 4.7 Ghz | AMD Radeon 680M 16 GB | 16 GB, DDR5-4800, 4800 MT/s MHz, 1 Slots | SSD: 512 GB, M.2",,415173,"Lenovo Lenovo ThinkPad E14 (21JRS02E00) | $800 | AMD Octa Core Ryzen 7 - 7730U 2.0 Ghz | AMD Radeon 16 GB | 16 GB, DDR4-3200, 3200 MT/s MHz, 2 Slots | SSD: 512 GB, M.2",
8,Laptop for video editing with a dedicated NVIDIA GPU and 32 GB RAM,329688,"MSI MSI Creator Z16P B12UHST | $3600 | Intel Core i9-12900H 14c/20t 14 x 1.8 - 5 GHz, 160 W PL2 / Short Burst, 110 W PL1 / Sustained, Alder Lake-H | NVIDIA GeForce RTX 3080 Ti Laptop GPU - 15.9 GB VRAM, Core: 1175 MHz, RAM: 1750 MHz, 90 W TDP, GDDR6, Nvidia 512.95, Optimus | 32 GB , DDR5 2400 MHz | Samsung PM9A1 MZVL22T0HBLB , 2048 GB , 1826 GB free",,413846,"Asus Asus ProArt Studiobook Pro 16 OLED H7600ZW-L911WS | $1800 | Intel Core i9-12900H 2.5 Ghz | NVIDIA GeForce RTX 3070 Ti 32 GB | 32 GB, DDR5, 2 Slots | SSD: 1 TB",,338600,"Asus Asus ProArt Studiobook 16 OLED H7604 | $4640 | Intel Core i9-13980HX 24c/32t, 8 x 5.6 GHz Intel Raptor Cove P-Core, 16 x 4.0 GHz Intel Gracemont E-Core, 170 W PL2 / Short Burst, 130 W PL1 / Sustained, Raptor Lake-HX | NVIDIA GeForce RTX 4070 Laptop GPU - 8 GB VRAM, Core: 2175 MHz, RAM: 2000 MHz, 130 W TDP ( including 25 W Dynamic Boost), GDDR6, 535.98, Optimus | 64 GB , DDR5-5600, Dual-Channel, 2 Slots, max. 64 GB | Phison EM2804TBMTCB47, 4096 GB , 3717 GB free",,418428,"MSI MSI Prestige 16 AI Studio B1VEG-071IN | $1500 | Intel Core Ultra 7 - 155H 4.8 Ghz | NVIDIA GeForce RTX 4050 32 GB | 32 GB, LPDDR5, 2 Slots | SSD: 1 TB, M.2",,417145,"Lenovo Lenovo ThinkPad P16s Gen 2 (21K9S00C00) | $1075 | AMD Octa Core Ryzen 7 - 7840U 4.8 Ghz AMD SoC Platform | AMD Radeon 780M 32 GB | 32 GB, LPDDR5X-7500, 7500 MT/s MHz, 2 Slots | SSD: 1 TB, M.2",
9,Creative work laptop with a high resolution display and fast SSD,314867,"Acer Acer ConceptD 3 Pro CN315-71P-73W1 | $1795 | Intel Core i7-9750H 6c/12t 6 x 2.6 - 4.5 GHz, Coffee Lake-H | NVIDIA Quadro T1000 (Laptop) - 4 GB VRAM, Core: 1725 MHz, RAM: 2000 MHz, GDDR5, 128-bit interface, 26.21.14.4292 (Nvidia 442.92, Optimus | 16 GB , DDR4 2666, dual-channel, two memory slots (both occupied) | WDC PC SN720 SDAPNTW-512G , 512 GB , 512 GB SSD, 434 GB free",,416065,"Dell Dell Inspiron 15 7000 15 7577 (A568502WIN9) | $1150 | Intel Core i7-7700HQ (7th Gen) 2.8 Ghz | NVIDIA GeForce GTX 1060 16 GB | 16 GB, DDR4-2400, 2400 MT/s MHz, 1 Slots | SSD: 256 GB; HDD: 1 TB, 5400 RPM, SATA",,418413,"Lenovo Lenovo ThinkPad P14s Gen4 (21HF001EIG) | $1300 | Intel Core i7-1360P (13th Gen) 5.0 Ghz | Intel UHD 16 GB | 16 GB, DDR5-5600, 5600 MT/s MHz, 2 Slots | SSD: 512 GB, M.2",,415195,"Lenovo Lenovo ThinkPad E14 (21JKS0LH00) | $1130 | Intel Core i7-1355U (13th Gen) 5.0 Ghz | Intel Iris Xe 16 GB | 16 GB, DDR4-3200, 3200 MT/s MHz, 2 Slots | SSD: 512 GB, M.2/Optane",,312868,"Asus Asus StudioBook Pro X W730G5T-H8050T | $7540 | Intel Xeon E-2276M 6c/12t 6 x 2.8 - 4.7 GHz, Coffee Lake-H | NVIDIA Quadro RTX 5000 (Laptop) - 16 GB VRAM, Core: 1545 MHz, RAM: 1750 MHz, 110 W TDP, GDDR6, 452.39, Optimus | 64 GB , DDR4-2666, Dual-Channel, 4x 16 GB SO-DIMM | Intel SSD 760p SSDPEKKW010T8, 1024 GB , 4 TB PCI-E NVMe SSD, M.2 2280, 887 GB free",
10,Workstation laptop with RTX graphics and at least 32 GB RAM,413846,"Asus Asus ProArt Studiobook Pro 16 OLED H7600ZW-L911WS | $1800 | Intel Core i9-12900H 2.5 Ghz | NVIDIA GeForce RTX 3070 Ti 32 GB | 32 GB, DDR5, 2 Slots | SSD: 1 TB",,318572,"Asus Asus ProArt StudioBook Pro 15 W500G5T | $6380 | Intel Core i7-9750H 6c/12t 6 x 2.6 - 4.5 GHz, 90 W PL2 / Short Burst, 65 W PL1 / Sustained, Coffee Lake-H | NVIDIA Quadro RTX 5000 Max-Q - 16 GB VRAM, Core: 1350 MHz, RAM: 1500 MHz, 80 W TDP, GDDR6, 27.21.14.5257 (Nvidia 452.57), Optimus | 32 GB , DDR4-2666, dual-channel, one memory slot (occupied), 16 GB onboard, 32 GB in our review model, 48 GB (maximum amount) | Samsung SSD PM981 MZVLB1T0HALR, 1024 GB , 2x M.2-2280-Slot, RAID 0, 890 GB free",,338600,"Asus Asus ProArt Studiobook 16 OLED H7604 | $4640 | Intel Core i9-13980HX 24c/32t, 8 x 5.6 GHz Intel Raptor Cove P-Core, 16 x 4.0 GHz Intel Gracemont E-Core, 170 W PL2 / Short Burst, 130 W PL1 / Sustained, Raptor Lake-HX | NVIDIA GeForce RTX 4070 Laptop GPU - 8 GB VRAM, Core: 2175 MHz, RAM: 2000 MHz, 130 W TDP ( including 25 W Dynamic Boost), GDDR6, 535.98, Optimus | 64 GB , DDR5-5600, Dual-Channel, 2 Slots, max. 64 GB | Phison EM2804TBMTCB47, 4096 GB , 3717 GB free",,341406,"Microsoft Microsoft Surface Laptop Studio 2 RTX 4060 | $4405 | Intel Core i7-13700H 14c/20t, 6 x 5.0 GHz Intel Golden Cove P-Core, 8 x 3.7 GHz Intel Gracemont E-Core, 82 W PL2 / Short Burst, 50 W PL1 / Sustained, Raptor Lake-H | NVIDIA GeForce RTX 4060 Laptop GPU - 8 GB VRAM, Core: 2010 MHz, RAM: 2000 MHz, 80 W TDP ( including 20 W Dynamic Boost), GDDR6, 536.67, Optimus | 64 GB , LPDDR5x-5200, Dual-Channel, onboard | Kioxia XG8 KXG80ZNV1T02 , 1024 GB , 863 GB free",,312868,"Asus Asus StudioBook Pro X W730G5T-H8050T | $7540 | Intel Xeon E-2276M 6c/12t 6 x 2.8 - 4.7 GHz, Coffee Lake-H | NVIDIA Quadro RTX 5000 (Laptop) - 16 GB VRAM, Core: 1545 MHz, RAM: 1750 MHz, 110 W TDP, GDDR6, 452.39, Optimus | 64 GB , DDR4-2666, Dual-Channel, 4x 16 GB SO-DIMM | Intel SSD 760p SSDPEKKW010T8, 1024 GB , 4 TB PCI-E NVMe SSD, M.2 2280, 887 GB free",
